codePoint,radicalId,numberOfStrokesInRadical,numberOfStrokes,onyomi,kunyomi,jisLevel,regular,forName
38446,170,4,6,GEN,,2,false,false
38447,170,4,6,SHI,ATO,2,false,false
38450,170,4,6,"BOU,HOU","FUSEGU,TSUTSUMI",1,true,true
38459,170,5,7,"SO,SHO","HABAMU,KEWASHII,HEDATERU",1,true,true
38463,170,5,7,A,"KUMA,OMONERU,O",1,false,true
38464,170,5,7,"DA,TA",KEWASHII,1,false,true
38466,170,5,7,"HA,HI",TSUTSUMI,2,false,false
38468,170,5,7,"FU,HOU",TSUKU,1,true,true
38475,170,6,8,ROU,"SEMAI,IYASHII",2,false,false
38476,170,6,8,"HAKU,BAKU","MICHI,MACHI",2,false,false
38477,170,6,8,KOU,"ORIRU,FURU,TAGURU",1,true,true
38479,170,6,8,"TA,DA,ZUI","OCHIRU,NAMAKERU",2,false,false
38480,170,6,8,"GEN,KAN","KAGIRU,KAGIRI",1,true,true
38491,170,7,9,HEI,KIZAHASHI,1,true,true
38492,170,7,9,"KOU,KYOU,GYOU",SEMAI,2,false,false
38493,170,7,9,SEN,,2,false,false
38494,170,7,9,SHOU,NOBORU,2,false,false
38495,170,7,9,"CHOKU,TOKU",NOBORU,2,false,false
38498,170,7,9,IN,IN,1,true,true
38499,170,7,9,"JIN,CHIN","JINDATE,IKUSA",1,true,true
38500,170,7,9,"JO,JI","NOZOKU,HARAU",1,true,true
38501,170,7,9,"KAN,KEN","OCHIIRU,OTOSHIIRERU",1,true,true
38502,170,7,9,TOU,,2,false,false
38506,170,8,10,"BAI,HAI",SHITAGAU,1,true,true
38508,170,8,10,"SUU,SOU,SHUU",SUMI,2,false,false
38512,170,8,10,"IN,ON,AN","KAGE,KAGERU,KURAI",1,true,true
38514,170,8,10,SUI,HOTORI,2,false,false
38515,170,8,10,"CHIN,JIN","TSURANERU,NOBERU,FURUI",1,true,true
38517,170,8,10,RYOU,"MISASAGI,SHINOGU,OKA",1,true,true
38518,170,8,10,"TOU,YOU",SUE,1,true,true
38519,170,8,10,KAN,"OCHIIRU,OTOSHIIRERU",2,false,true
38520,170,8,10,"RIKU,ROKU",OKA,1,true,true
38522,170,8,10,KEN,KEWASHII,1,true,true
38525,170,9,11,YOU,"HI,ITSUWARU",1,true,true
38533,170,9,11,"GUU,GU",SUMI,1,true,true
38534,170,9,11,RYUU,"NAKADAKA,TAKAI",1,true,true
38536,170,9,11,"WAI,E",KUMA,1,false,true
38538,170,9,11,"TAI,TSUI",KUMI,1,true,true
38539,170,9,11,"TA,DA,ZUI","OCHIRU,NAMAKERU",2,false,false
38541,170,9,11,KOU,HORI,2,false,false
38542,170,9,11,KAI,"KIZAHASHI,HASHIGO,SHINA",1,true,true
38543,170,9,11,"ZUI,SUI",SHITAGAU,1,true,true
38548,170,10,12,KAKU,"HEDATERU,HEDATARU,HEDATARI",1,true,true
38549,170,10,12,"IN,EN",OCHIRU,2,false,false
38551,170,10,11,"KAI,GAI,KI","KEWASHII,TAKAI",2,false,false
38552,170,10,12,"AI,YAKU",SEMAI,2,false,false
38553,170,10,12,"GEKI,KEKI,KYAKU","SUKI,HIMA",1,true,true
38555,170,11,13,SAI,"KIWA,MAJIWARU,AI",1,true,true
38556,170,11,13,SHOU,"SAWARU,HEDATE,FUSEGU",1,true,true
38560,170,11,13,"IN,ON","KAKURERU,KAKUSU,YORU",1,true,true
38563,170,12,14,RIN,"TONARI,TONARU",1,true,true
38567,170,13,14,"SUI,TSUI,TAI","MICHI,MEGURU,NOROSHIDAI",2,false,false
38568,170,13,14,"ZUI,SUI",SHITAGAU,2,false,false
38570,170,13,15,KEN,KEWASHII,2,false,true
38576,170,14,16,"SHITSU,SHUU",SAWA,2,false,false
38577,170,14,16,"IN,ON",KAKURERU,2,false,false
38578,170,14,16,"SHITSU,CHOKU",NOBORU,2,false,false
38580,170,16,18,"ROU,RYOU","UNE,OKA",2,false,false
38582,171,0,8,"TAI,DAI,I",OYOBU,2,false,false
38583,171,8,16,REI,"SHIMOBE,SHITAGAU",1,true,true
38584,171,9,17,"REI,I","SHIMOBE,SHITAGAU",2,false,false
